1, 14034, 1
1, 18381, 0
1, 12067, 1
1, 24998, 0
1, 23140, 1
1, 28161, 0
2, 15322, 1
2, 20671, 0
2, 3107, 1
2, 18500, 0
2, 20, 1
2, 22450, 0
2, 3133, 1
2, 28157, 0
3, 25745, 1
3, 27226, 0
4, 8769, 1
4, 22165, 0
4, 12325, 1
4, 8465, 0
4, 4582, 1
4, 28232, 0
5, 5968, 1
5, 4228, 0
5, 27179, 1
5, 22611, 0
6, 15658, 1
6, 6091, 0
6, 23995, 1
6, 9108, 0
7, 1019, 1
7, 28040, 0
8, 18360, 1
8, 24957, 0
8, 16763, 1
8, 11957, 0
9, 2338, 1
9, 10799, 0
9, 5385, 1
9, 1649, 0
9, 5932, 1
9, 15466, 0
9, 9967, 1
9, 12916, 0
9, 11223, 1
9, 3472, 0
10, 21123, 1
10, 23459, 0
10, 24305, 1
10, 5191, 0
10, 1528, 1
10, 19042, 0
10, 474, 1
10, 62, 0
10, 2332, 1
10, 26417, 0
11, 3105, 1
11, 17988, 0
11, 3169, 1
11, 18480, 0
11, 14980, 1
11, 8867, 0
11, 18279, 1
11, 6089, 0
11, 8811, 1
11, 7356, 0
11, 5876, 1
11, 6846, 0
11, 27, 1
11, 5105, 0
12, 7080, 1
12, 10751, 0
12, 7943, 1
12, 5121, 0
13, 28643, 1
13, 25123, 0
13, 14117, 1
13, 26003, 0
13, 54, 1
13, 16103, 0
14, 22490, 1
14, 23914, 0
14, 24301, 1
14, 643, 0
15, 11196, 1
15, 25429, 0
16, 1312, 1
16, 1564, 0
16, 27746, 1
16, 748, 0
17, 20609, 1
17, 19709, 0
18, 28517, 1
18, 2991, 0
18, 18332, 1
18, 25972, 0
18, 22492, 1
18, 11675, 0
18, 15280, 1
18, 11007, 0
18, 18322, 1
18, 17475, 0
18, 27224, 1
18, 21017, 0
18, 11164, 1
18, 1059, 0
18, 27901, 1
18, 18985, 0
19, 541, 1
19, 20976, 0
19, 23756, 1
19, 16121, 0
19, 10381, 1
19, 14472, 0
20, 2, 1
20, 8649, 0
20, 15322, 1
20, 19832, 0
20, 3107, 1
20, 27897, 0
20, 3133, 1
20, 13244, 0
21, 14109, 1
21, 521, 0
21, 1516, 1
